Forming,$H$,$B$,$r_o$,$t$,$L_{c}$,$L_{c}/r$,$F_y$,$N_u (kN)$
Cold-formed,150.14,150.14,17.36,6.17,3076,53.01539611,494.0992219,1132.59
Cold-formed,150.22,150.22,17.84,6.18,3076,53.02223149,493.9707401,1130.33
Cold-formed,150.3,150.3,17.56,6.19,3076,52.97168681,493.9835764,1123.43
Cold-formed,150.3,150.3,17.09,6.13,3076,52.92696546,494.170665,1106.83
Cold-formed,150.3,150.3,16.65,6.26,4075,70.13165188,494.4829696,829.99
Cold-formed,150.26,150.26,17.39,6.19,4075,70.18250462,494.0758373,853.33
Cold-formed,150.2,150.2,17.43,6.19,4075,70.21438148,494.0442964,828.58
Cold-formed,150.34,150.34,17.47,6.23,4076,70.18604948,494.128086,849.44
Cold-formed,100.26,100.26,10.4,5.04,2176,56.53636015,510.1539439,615.89
Cold-formed,100.27,100.27,10.42,5.07,2176,56.54760518,510.1472252,612.62
Cold-formed,100.27,100.27,10.44,5.05,2176,56.5404136,509.9759586,616.34
Cold-formed,100.23,100.23,10.45,5.05,2876,74.76241991,510.170547,435.77
Cold-formed,100.25,100.25,10.42,5.07,2876,74.7543425,510.148031,450.76
Cold-formed,100.19,100.19,10.43,5.06,2876,74.79723228,510.159295,447.85
Cold-formed,100.27,100.27,10.43,5.09,3576,92.94753902,510.141564,338.05
Cold-formed,100.34,100.34,10.42,5.07,3576,92.86033079,510.1444026,320.84
Cold-formed,100.29,100.29,10.44,5.05,3576,92.89779654,510.1640679,329.69
Cold-formed,100.25,100.25,10.41,5.04,4276,111.1124375,510.1583854,242.49
Cold-formed,100.22,100.22,10.44,5.03,4276,111.1458768,510.1765094,233.16
Cold-formed,100.22,100.22,10.35,5.06,4276,111.1518817,510.125954,229.78
Cold-formed,100.28,100.28,10.4,5.04,2176,56.52436135,510.1531268,615.49
Cold-formed,100.19,100.19,10.44,5.05,2876,74.79247696,510.168145,431.81
Cold-formed,100.32,100.32,10.42,5.03,3576,92.84795827,510.1643051,324.92
Cold-formed,100.21,100.21,10.39,5.05,4276,111.1641734,510.1471863,231.96
Cold-formed,120.25,120.25,14.8,4.93,2176,46.88844629,535.1496943,822.64
Cold-formed,120.31,120.31,14.53,4.94,2176,46.84720223,535.2806169,803.44
Cold-formed,120.31,120.31,13.83,4.96,2176,46.80542337,535.6600303,861.33
Cold-formed,120.27,120.27,13.8,4.97,2876,61.8839635,535.6597102,669.4
Cold-formed,120.24,120.24,13.9,4.97,2876,61.91088542,535.6344607,655.75
Cold-formed,120.28,120.28,13.84,4.93,2876,61.86354472,535.5723583,657.91
Cold-formed,120.26,120.26,13.5,4.97,3576,76.92060526,535.5322449,478.53
Cold-formed,120.3,120.3,13.52,4.95,3576,76.88251327,535.5601742,475.58
Cold-formed,120.26,120.26,13.77,4.98,3576,76.95689962,535.669274,504.61
Cold-formed,120.26,120.26,13.82,4.93,4216,90.69900465,535.5654986,376.87
Cold-formed,120.18,120.18,13.85,4.96,4274,92.03681929,535.6079831,377.22
Cold-formed,120.22,120.22,13.65,4.97,4276,92.02737668,535.6203042,382.05
Cold-formed,120.21,120.21,13.82,4.94,2176,46.83916617,535.6399225,877.8
Cold-formed,120.3,120.3,13.88,4.97,2876,61.87529733,535.6252151,666.21
Cold-formed,120.26,120.26,13.93,4.95,3576,76.9568121,535.5716044,489.46
Cold-formed,120.22,120.22,13.86,4.99,4276,92.06845723,535.6393504,382.27
Cold-formed,99.86,99.86,8.53,4.86,2876,74.7027659,501.4920443,402.727
Cold-formed,99.89,99.89,8.51,4.88,2876,74.68715659,501.4954807,398.019
Cold-formed,99.91,99.91,8.54,4.87,2876,74.66927148,501.5083784,409.696
Cold-formed,99.86,99.86,8.8,4.89,2876,74.75321074,501.6775034,406.456
Cold-formed,99.91,99.91,6.7,4.82,4277,110.681651,500.2807693,216.948
Cold-formed,99.91,99.91,8.63,4.85,4277,111.0405717,501.567069,217.459
Cold-formed,99.92,99.92,8.52,4.79,4277,110.9451791,501.5337709,
Cold-formed,99.94,99.94,8.85,4.9,4277,111.0950969,501.6917627,218.775
Cold-formed,100.6033333,100.6033333,8.1525,3.82375,2801,71.44402566,519.4176559,
Cold-formed,100.5908333,100.5908333,8.14875,3.75125,2798,71.3326415,519.4256409,410.1
Cold-formed,100.5858333,100.5858333,8.16125,3.78875,2798,71.36091434,519.4268293,426.25
Cold-formed,150.37,150.37,17.3075,5.92875,3076,52.85306032,464.4946777,1009.87
Cold-formed,150.4925,150.4925,17.22,5.85375,3076,52.77483827,464.3567499,1031.38
Cold-formed,150.4308333,150.4308333,17.36,5.89125,3074,52.78833114,464.4316688,1020.8
Cold-formed,150.555,150.555,17.23,5.91375,3074,52.73539264,464.4076594,1002.87
Cold-formed,150.4791667,150.4791667,17.2875,5.91,4080,70.04070508,464.4704318,737.23
Cold-formed,150.4816667,150.4816667,17.2575,5.89375,4056,69.6173754,464.4478167,762.03
Cold-formed,150.5116667,150.5116667,17.1175,5.8775,4081,70.00665586,464.3910754,762.76
Cold-formed,150.4808333,150.4808333,17.2575,5.877142857,4074,69.92052949,464.4341145,760.97
Cold-formed,125.8,125.8,11.88,5.94,3450,71.11221316,419.1172452,632
Cold-formed,76,76,5,2,459.3031577,15.3,445.9456409,226
Cold-formed,76,76,5,2,981.6479253,32.7,445.9456409,210
Cold-formed,76,76,5,2,1882.242352,62.7,445.9456409,190
Cold-formed,76,76,5,2,2776.832816,92.5,445.9456409,108
Cold-formed,76,76,5,2,777.5131886,25.9,390.9456409,204
Cold-formed,76,76,5,2,1434.94712,47.8,390.9456409,200
Cold-formed,76,76,5,2,2377.569287,79.2,390.9456409,132
Cold-formed,76,76,5,2,2776.832816,92.5,390.9456409,104
Cold-formed,152,152,12.25,4.9,1209.423113,20.3,436.0812901,1212
Cold-formed,152,152,12.25,4.9,2246.071496,37.7,436.0812901,1108
Cold-formed,152,152,12.25,4.9,4039.354043,67.8,436.0812901,824
Cold-formed,152,152,12.25,4.9,5838.59434,98,436.0812901,486
Cold-formed,203,203,16.5,6.6,2839.52381,35.7,425.8901304,1807
Cold-formed,203,203,16.5,6.6,5225.678272,65.7,425.8901304,1280
Cold-formed,203,203,16.5,6.6,7611.832735,95.7,425.8901304,784
Cold-formed,200,100,8,4,2110,49.87130034,343,687
Cold-formed,200,100,8,4,3170,74.92512895,343,498
Cold-formed,200,100,8,4,4230,99.97895756,343,347
Cold-formed,250,150,10,5,3180,50.71670379,381,1140
Cold-formed,250,150,10,5,4750,75.75608271,381,1000
Cold-formed,330,200,8,4,4250,50.17077895,416,872.6101373
Cold-formed,330,200,8,4,6370,75.19714398,416,805.7500285
Cold-formed,330,200,8,4,8500,100.3415579,416,648.0287463
Cold-formed,265,265,8,4,5335,50.19550341,436,828.3169637
Cold-formed,265,265,8,4,8000,75.26973332,436,736.6810306
Cold-formed,265,265,8,4,10670,100.3910068,436,580.3609095
Cold-formed,300,100,10,5,2170,49.98937869,386,980.5288073
Cold-formed,300,100,10,5,3250,74.86888513,386,920.1659228
Cold-formed,300,100,10,5,4350,100.2091232,386,690.4925085
Cold-formed,300,200,10,5,4210,50.49855152,270,1007.362826
Cold-formed,300,200,10,5,6250,74.96815843,270,886.4792871
Cold-formed,300,200,10,5,8330,99.91756155,270,736.9996419
Cold-formed,220,140,6,3,3000,50.9411585,481,511.4441477
Cold-formed,220,140,6,3,4470,75.90232617,481,382.576331
Cold-formed,220,140,6,3,5900,100.1842784,481,301.0271657
Cold-formed,250,150,10,5,3180,50.71670379,374,1205.388753
Cold-formed,250,150,10,5,4750,75.75608271,374,1201.109266
Cold-formed,250,150,10,5,6270,99.99802917,374,690.4238536
Cold-formed,329.3,199.1,19.42,4.05,433,5.157067825,420.1625592,820
Cold-formed,329.3,199.1,19.42,4.05,433,5.157067825,420.1625592,865
Cold-formed,329.3,199.1,19.42,4.05,433,5.157067825,420.1625592,848
Cold-formed,329.3,199.1,19.42,4.05,433,5.157067825,420.1625592,860
Cold-formed,329.3,199.1,19.42,4.05,433,5.157067825,420.1625592,855
Cold-formed,329.3,199.1,19.42,4.05,433,5.157067825,420.1625592,900
Cold-formed,329.3,199.1,19.42,4.05,433,5.157067825,420.1625592,815
Cold-formed,329.3,199.1,19.42,4.05,433,5.157067825,420.1625592,965
Cold-formed,329.3,199.1,19.42,4.05,4250,50.61787126,420.1625592,865
Cold-formed,329.3,199.1,19.42,4.05,4250,50.61787126,420.1625592,983
Cold-formed,329.3,199.1,19.42,4.05,4250,50.61787126,420.1625592,879
Cold-formed,329.3,199.1,19.42,4.05,4250,50.61787126,420.1625592,890
Cold-formed,329.3,199.1,19.42,4.05,4250,50.61787126,420.1625592,817
Cold-formed,329.3,199.1,19.42,4.05,4250,50.61787126,420.1625592,873
Cold-formed,329.3,199.1,19.42,4.05,4250,50.61787126,420.1625592,862
Cold-formed,329.3,199.1,19.42,4.05,4250,50.61787126,420.1625592,882
Cold-formed,329.3,199.1,19.42,4.05,6370,75.86725646,420.1625592,863
Cold-formed,329.3,199.1,19.42,4.05,6370,75.86725646,420.1625592,795
Cold-formed,329.3,199.1,19.42,4.05,6370,75.86725646,420.1625592,799
Cold-formed,329.3,199.1,19.42,4.05,6370,75.86725646,420.1625592,810
Cold-formed,329.3,199.1,19.42,4.05,6370,75.86725646,420.1625592,741
Cold-formed,329.3,199.1,19.42,4.05,6370,75.86725646,420.1625592,809
Cold-formed,329.3,199.1,19.42,4.05,8500,101.2357425,420.1625592,693
Cold-formed,329.3,199.1,19.42,4.05,8500,101.2357425,420.1625592,604
Cold-formed,329.3,199.1,19.42,4.05,8500,101.2357425,420.1625592,618
Cold-formed,329.3,199.1,19.42,4.05,8500,101.2357425,420.1625592,655
Cold-formed,329.3,199.1,19.42,4.05,8500,101.2357425,420.1625592,703
Cold-formed,329.3,199.1,19.42,4.05,8500,101.2357425,420.1625592,672
Cold-formed,329.3,199.1,19.42,4.05,8500,101.2357425,420.1625592,640
Cold-formed,329.3,199.1,19.42,4.05,8500,101.2357425,420.1625592,583
Cold-formed,265.2,265.8,23.74,4.04,545,5.156649667,438.7708798,818
Cold-formed,265.2,265.8,23.74,4.04,545,5.156649667,438.7708798,820
Cold-formed,265.2,265.8,23.74,4.04,545,5.156649667,438.7708798,805
Cold-formed,265.2,265.8,23.74,4.04,545,5.156649667,438.7708798,858
Cold-formed,265.2,265.8,23.74,4.04,545,5.156649667,438.7708798,880
Cold-formed,265.2,265.8,23.74,4.04,545,5.156649667,438.7708798,845
Cold-formed,265.2,265.8,23.74,4.04,545,5.156649667,438.7708798,800
