Forming,$H$,$B$,$r_o$,$t$,$L_{c}$,$L_{c}/r$,$F_y$,$N_u (kN)$
Hot-rolled,100,100,20,10,2200,61.15207933,900,1653.554
Hot-rolled,100,100,13.33333333,6.666666667,2200,58.47976154,900,1267.552625
Hot-rolled,100,100,10,5,2200,57.24629691,900,1011.790438
Hot-rolled,100,100,8,4,2200,56.53556149,900,823.0405
Hot-rolled,100,100,6.666666667,3.333333333,2200,56.07325676,900,663.6690625
Hot-rolled,100,100,5,2.5,2200,55.50778537,900,408.531
Hot-rolled,100,100,3.555555556,1.777777778,2200,55.02845119,900,220.8218594
Hot-rolled,100,100,26.66666667,13.33333333,2360,68.81381937,900,1656.043125
Hot-rolled,100,100,20,10,2360,65.59950328,900,1462.49825
Hot-rolled,100,100,13.33333333,6.666666667,2360,62.7328351,900,1127.087375
Hot-rolled,100,100,10,5,2360,61.40966396,900,901.6435
Hot-rolled,100,100,8,4,2360,60.64723869,900,738.9939375
Hot-rolled,100,100,6.666666667,3.333333333,2360,60.1513118,900,603.3925
Hot-rolled,100,100,5,2.5,2360,59.54471521,900,382.5142188
Hot-rolled,100,100,3.555555556,1.777777778,2360,59.03052036,900,207.4611563
Hot-rolled,100,100,26.66666667,13.33333333,2510,73.18757907,900,1479.788375
Hot-rolled,100,100,20,10,2510,69.76896324,900,1308.41275
Hot-rolled,100,100,13.33333333,6.666666667,2510,66.72009157,900,1010.493688
Hot-rolled,100,100,10,5,2510,65.31282057,900,810.551125
Hot-rolled,100,100,8,4,2510,64.50193606,900,666.446625
Hot-rolled,100,100,6.666666667,3.333333333,2510,63.97448839,900,549.6031875
Hot-rolled,100,100,5,2.5,2510,63.32933694,900,356.9105313
Hot-rolled,100,100,3.555555556,1.777777778,2510,62.78246022,900,195.2608594
Hot-rolled,100,100,26.66666667,13.33333333,2670,77.85292276,900,1317.247
Hot-rolled,100,100,20,10,2670,74.21638719,900,1166.088
Hot-rolled,100,100,13.33333333,6.666666667,2670,70.97316514,900,904.2173125
Hot-rolled,100,100,10,5,2670,69.47618761,900,725.6601875
Hot-rolled,100,100,8,4,2670,68.61361326,900,597.9209375
Hot-rolled,100,100,6.666666667,3.333333333,2670,68.05254343,900,496.9418438
Hot-rolled,100,100,5,2.5,2670,67.36626678,900,330.6212188
Hot-rolled,100,100,3.555555556,1.777777778,2670,66.78452939,900,182.6689688
Hot-rolled,100,100,26.66666667,13.33333333,2830,82.51826644,900,1180.0575
Hot-rolled,100,100,20,10,2830,78.66381114,900,1046.159938
Hot-rolled,100,100,13.33333333,6.666666667,2830,75.2262387,900,811.8044375
Hot-rolled,100,100,10,5,2830,73.63955466,900,651.4711875
Hot-rolled,100,100,8,4,2830,72.72529046,900,538.623875
Hot-rolled,100,100,6.666666667,3.333333333,2830,72.13059847,900,449.50225
Hot-rolled,100,100,5,2.5,2830,71.40319663,900,305.5005625
Hot-rolled,100,100,3.555555556,1.777777778,2830,70.78659857,900,170.9084531
Hot-rolled,100,100,26.66666667,13.33333333,2980,86.89202615,900,1069.436125
Hot-rolled,100,100,20,10,2980,82.8332711,900,948.71425
Hot-rolled,100,100,13.33333333,6.666666667,2980,79.21349517,900,736.7521875
Hot-rolled,100,100,10,5,2980,77.54271127,900,592.12575
Hot-rolled,100,100,8,4,2980,76.57998783,900,489.5249375
Hot-rolled,100,100,6.666666667,3.333333333,2980,75.95377507,900,410.2392188
Hot-rolled,100,100,5,2.5,2980,75.18781836,900,283.2948125
Hot-rolled,100,100,3.555555556,1.777777778,2980,74.53853842,900,160.6245781
Hot-rolled,100,100,26.66666667,13.33333333,3140,91.55736983,900,967.199
Hot-rolled,100,100,20,10,3140,87.28069505,900,858.471875
Hot-rolled,100,100,13.33333333,6.666666667,3140,83.46656874,900,666.9625625
Hot-rolled,100,100,10,5,3140,81.70607832,900,536.39825
Hot-rolled,100,100,8,4,3140,80.69166503,900,444.1006563
Hot-rolled,100,100,6.666666667,3.333333333,3140,80.0318301,900,372.7836875
Hot-rolled,100,100,5,2.5,3140,79.2247482,900,261.1255781
Hot-rolled,100,100,3.555555556,1.777777778,3140,78.5406076,900,150.2597188
Hot-rolled,100,100,26.66666667,13.33333333,3300,96.22271352,900,878.5653125
Hot-rolled,100,100,20,10,3300,91.728119,900,780.2690625
Hot-rolled,100,100,13.33333333,6.666666667,3300,87.71964231,900,606.4160625
Hot-rolled,100,100,10,5,3300,85.86944537,900,487.8988125
Hot-rolled,100,100,8,4,3300,84.80334223,900,404.3879063
Hot-rolled,100,100,6.666666667,3.333333333,3300,84.10988514,900,340.2803438
Hot-rolled,100,100,5,2.5,3300,83.26167805,900,240.8780781
Hot-rolled,100,100,3.555555556,1.777777778,3300,82.54267678,900,140.6113281
Hot-rolled,100,100,26.66666667,13.33333333,3450,100.5964732,900,805.97825
Hot-rolled,100,100,20,10,3450,95.89757895,900,716.1141875
Hot-rolled,100,100,13.33333333,6.666666667,3450,91.70689877,900,556.755875
Hot-rolled,100,100,10,5,3450,89.77260197,900,448.0523125
Hot-rolled,100,100,8,4,3450,88.6580396,900,371.589375
Hot-rolled,100,100,6.666666667,3.333333333,3450,87.93306174,900,313.1993438
Hot-rolled,100,100,5,2.5,3450,87.04629978,900,223.6504531
Hot-rolled,100,100,3.555555556,1.777777778,3450,86.29461663,900,132.2697031
Hot-rolled,100,100,26.66666667,13.33333333,3610,105.2618169,900,738.3515
Hot-rolled,100,100,20,10,3610,100.3450029,900,655.8781875
Hot-rolled,100,100,13.33333333,6.666666667,3610,95.95997234,900,510.1764375
Hot-rolled,100,100,10,5,3610,93.93596902,900,410.6403125
Hot-rolled,100,100,8,4,3610,92.7697168,900,340.7133438
Hot-rolled,100,100,6.666666667,3.333333333,3610,92.01111677,900,287.5707813
Hot-rolled,100,100,5,2.5,3610,91.08322962,900,354.1896563
Hot-rolled,100,100,3.555555556,1.777777778,3610,90.29668581,900,124.1478672
Hot-rolled,100,100,26.66666667,13.33333333,3770,109.9271606,900,678.785375
Hot-rolled,100,100,20,10,3770,104.7924269,900,602.7419375
Hot-rolled,100,100,13.33333333,6.666666667,3770,100.2130459,900,469.1446875
Hot-rolled,100,100,10,5,3770,98.09933607,900,377.6824375
Hot-rolled,100,100,8,4,3770,96.881394,900,313.4560625
Hot-rolled,100,100,6.666666667,3.333333333,3770,96.08917181,900,264.8544688
Hot-rolled,100,100,5,2.5,3770,95.12015947,900,191.9340781
Hot-rolled,100,100,3.555555556,1.777777778,3770,94.29875499,900,116.6029688
Hot-rolled,100,50,21,10.5,150,4.846353911,900,2459.091
Hot-rolled,100,50,13.33333333,6.666666667,150,4.489854115,900,1572.286125
Hot-rolled,100,50,6.666666667,3.333333333,150,4.23843789,900,765.14575
Hot-rolled,100,50,3.571428571,1.785714286,150,4.135276829,900,289.602625
Hot-rolled,50,100,21,10.5,150,8.625229336,900,-1
Hot-rolled,50,100,13.33333333,6.666666667,150,7.862551077,900,1580.617625
Hot-rolled,50,100,6.666666667,3.333333333,150,7.295852131,900,773.6721875
Hot-rolled,50,100,3.571428571,1.785714286,150,7.05878345,900,295.7175625
Hot-rolled,100,50,21,10.5,160,5.169444172,900,2367.02775
Hot-rolled,100,50,13.33333333,6.666666667,160,4.789177723,900,1564.926375
Hot-rolled,100,50,6.666666667,3.333333333,160,4.521000416,900,776.7539375
Hot-rolled,100,50,3.571428571,1.785714286,160,4.410961951,900,298.8307188
Hot-rolled,50,100,21,10.5,80,4.600122313,900,-1
Hot-rolled,50,100,13.33333333,6.666666667,80,4.193360574,900,1619.3725
Hot-rolled,50,100,6.666666667,3.333333333,80,3.891121136,900,801.55625
Hot-rolled,50,100,3.571428571,1.785714286,80,3.764684507,900,328.083625
Hot-rolled,100,50,21,10.5,310,10.01579808,900,2181.01975
Hot-rolled,100,50,13.33333333,6.666666667,310,9.279031838,900,1534.888375
Hot-rolled,100,50,6.666666667,3.333333333,310,8.759438306,900,750.9003125
Hot-rolled,100,50,3.571428571,1.785714286,310,8.546238779,900,282.9593438
Hot-rolled,50,100,21,10.5,160,9.200244626,900,2188.9915
Hot-rolled,50,100,13.33333333,6.666666667,160,8.386721149,900,1538.84175
Hot-rolled,50,100,6.666666667,3.333333333,160,7.782242273,900,774.4545625
Hot-rolled,50,100,3.571428571,1.785714286,160,7.529369013,900,301.009125
Hot-rolled,100,50,21,10.5,470,15.18524225,900,2163.8755
Hot-rolled,100,50,13.33333333,6.666666667,470,14.06820956,900,1514.789375
Hot-rolled,100,50,6.666666667,3.333333333,470,13.28043872,900,746.808625
Hot-rolled,100,50,3.571428571,1.785714286,470,12.95720073,900,279.794375
Hot-rolled,50,100,21,10.5,240,13.80036694,900,2139.928
Hot-rolled,50,100,13.33333333,6.666666667,240,12.58008172,900,1525.762125
Hot-rolled,50,100,6.666666667,3.333333333,240,11.67336341,900,733.5553125
Hot-rolled,50,100,3.571428571,1.785714286,240,11.29405352,900,285.58825
Hot-rolled,100,50,21,10.5,630,20.35468643,900,2142.436
Hot-rolled,100,50,13.33333333,6.666666667,630,18.85738728,900,1509.36825
Hot-rolled,100,50,6.666666667,3.333333333,630,17.80143914,900,745.125375
Hot-rolled,100,50,3.571428571,1.785714286,630,17.36816268,900,281.8308438
Hot-rolled,50,100,21,10.5,310,17.82547396,900,2114.553
Hot-rolled,50,100,13.33333333,6.666666667,310,16.24927223,900,1507.683875
Hot-rolled,50,100,6.666666667,3.333333333,310,15.0780944,900,753.6465625
Hot-rolled,50,100,3.571428571,1.785714286,310,14.58815246,900,289.0970938
Hot-rolled,100,50,21,10.5,790,25.5241306,900,2112.58225
Hot-rolled,100,50,13.33333333,6.666666667,790,23.64656501,900,1490.6525
Hot-rolled,100,50,6.666666667,3.333333333,790,22.32243955,900,738.1001875
Hot-rolled,100,50,3.571428571,1.785714286,790,21.77912463,900,278.8896563
Hot-rolled,50,100,21,10.5,390,22.42559627,900,2128.117
Hot-rolled,50,100,13.33333333,6.666666667,390,20.4426328,900,1502.083
Hot-rolled,50,100,6.666666667,3.333333333,390,18.96921554,900,738.005875
Hot-rolled,50,100,3.571428571,1.785714286,390,18.35283697,900,281.43125
Hot-rolled,100,50,21,10.5,940,30.37048451,900,2068.494
Hot-rolled,100,50,13.33333333,6.666666667,940,28.13641912,900,1466.477375
Hot-rolled,100,50,6.666666667,3.333333333,940,26.56087744,900,733.124
Hot-rolled,100,50,3.571428571,1.785714286,940,25.91440146,900,279.327625
Hot-rolled,50,100,21,10.5,470,27.02571859,900,2104.99275
Hot-rolled,50,100,13.33333333,6.666666667,470,24.63599337,900,1489.907125
Hot-rolled,50,100,6.666666667,3.333333333,470,22.86033668,900,728.8354375
Hot-rolled,50,100,3.571428571,1.785714286,470,22.11752148,900,266.6556563
Hot-rolled,100,50,21,10.5,1100,35.53992868,900,2009.40875
Hot-rolled,100,50,13.33333333,6.666666667,1100,32.92559684,900,1437.336125
Hot-rolled,100,50,6.666666667,3.333333333,1100,31.08187786,900,723.1576875
Hot-rolled,100,50,3.571428571,1.785714286,1100,30.32536341,900,276.7146875
Hot-rolled,50,100,21,10.5,550,31.6258409,900,2065.346875
Hot-rolled,50,100,13.33333333,6.666666667,550,28.82935395,900,1469.020375
Hot-rolled,50,100,6.666666667,3.333333333,550,26.75145781,900,716.4845
Hot-rolled,50,100,3.571428571,1.785714286,550,25.88220598,900,273.1353438
Hot-rolled,100,50,21,10.5,1260,40.70937285,900,1908.0925
Hot-rolled,100,50,13.33333333,6.666666667,1260,37.71477457,900,1388.769875
Hot-rolled,100,50,6.666666667,3.333333333,1260,35.60287828,900,710.58325
Hot-rolled,100,50,3.571428571,1.785714286,1260,34.73632536,900,273.9459063
Hot-rolled,50,100,21,10.5,630,36.22596321,900,2004.576625
Hot-rolled,50,100,13.33333333,6.666666667,630,33.02271452,900,1440.5855
Hot-rolled,50,100,6.666666667,3.333333333,630,30.64257895,900,708.1405
Hot-rolled,50,100,3.571428571,1.785714286,630,29.64689049,900,268.8415938
Hot-rolled,100,50,21,10.5,1410,45.55572676,900,1765.1425
Hot-rolled,100,50,13.33333333,6.666666667,1410,42.20462868,900,1319.44175
Hot-rolled,100,50,6.666666667,3.333333333,1410,39.84131617,900,694.998625
Hot-rolled,100,50,3.571428571,1.785714286,1410,38.87160219,900,270.5035
Hot-rolled,50,100,21,10.5,710,40.82608553,900,1901.339375
Hot-rolled,50,100,13.33333333,6.666666667,710,37.2160751,900,1399.571125
Hot-rolled,50,100,6.666666667,3.333333333,710,34.53370008,900,688.92925
Hot-rolled,50,100,3.571428571,1.785714286,710,33.411575,900,259.8857813
Hot-rolled,100,50,21,10.5,1570,50.72517094,900,1565.27025
Hot-rolled,100,50,13.33333333,6.666666667,1570,46.9938064,900,1212.064875
Hot-rolled,100,50,6.666666667,3.333333333,1570,44.36231658,900,665.0285625
Hot-rolled,100,50,3.571428571,1.785714286,1570,43.28256414,900,264.579
Hot-rolled,50,100,21,10.5,790,45.42620784,900,1772.00975
Hot-rolled,50,100,13.33333333,6.666666667,790,41.40943567,900,1332.879125
Hot-rolled,50,100,6.666666667,3.333333333,790,38.42482122,900,668.3475
Hot-rolled,50,100,3.571428571,1.785714286,790,37.1762595,900,250.334625
Hot-rolled,100,50,21,10.5,1730,55.89461511,900,1369.03825
Hot-rolled,100,50,13.33333333,6.666666667,1730,51.78298413,900,1085.167125
Hot-rolled,100,50,6.666666667,3.333333333,1730,48.883317,900,617.0789375
Hot-rolled,100,50,3.571428571,1.785714286,1730,47.69352609,900,258.2192656
Hot-rolled,50,100,21,10.5,860,49.45131486,900,1621.12625
Hot-rolled,50,100,13.33333333,6.666666667,860,45.07862617,900,1258.770125
Hot-rolled,50,100,6.666666667,3.333333333,860,41.82955222,900,643.75725
Hot-rolled,50,100,3.571428571,1.785714286,860,40.47035845,900,239.0535938
Hot-rolled,100,50,21,10.5,1880,60.74096902,900,1195.8085
Hot-rolled,100,50,13.33333333,6.666666667,1880,56.27283824,900,965.2010625
Hot-rolled,100,50,6.666666667,3.333333333,1880,53.12175489,900,564.3968125
Hot-rolled,100,50,3.571428571,1.785714286,1880,51.82880292,900,249.2800625
Hot-rolled,50,100,21,10.5,940,54.05143717,900,1434.339375
Hot-rolled,50,100,13.33333333,6.666666667,940,49.27198675,900,1156.431875
Hot-rolled,50,100,6.666666667,3.333333333,940,45.72067335,900,610.8189375
Hot-rolled,50,100,3.571428571,1.785714286,940,44.23504295,900,225.5594063
Hot-rolled,100,50,21,10.5,2040,65.91041319,900,1037.137125
Hot-rolled,100,50,13.33333333,6.666666667,2040,61.06201597,900,844.993125
Hot-rolled,100,50,6.666666667,3.333333333,2040,57.6427553,900,503.3487188
Hot-rolled,100,50,3.571428571,1.785714286,2040,56.23976487,900,236.8118438
Hot-rolled,50,100,21,10.5,1020,58.65155949,900,1262.0055
Hot-rolled,50,100,13.33333333,6.666666667,1020,53.46534732,900,1037.883563
Hot-rolled,50,100,6.666666667,3.333333333,1020,49.61179449,900,567.0169375
Hot-rolled,50,100,3.571428571,1.785714286,1020,47.99972746,900,209.9347031
Hot-rolled,100,50,21,10.5,2200,71.07985736,900,904.6290625
Hot-rolled,100,50,13.33333333,6.666666667,2200,65.85119369,900,741.0723125
Hot-rolled,100,50,6.666666667,3.333333333,2200,62.16375572,900,445.0255938
Hot-rolled,100,50,3.571428571,1.785714286,2200,60.65072682,900,221.4967656
Hot-rolled,50,100,21,10.5,1100,63.2516818,900,1109.317125
Hot-rolled,50,100,13.33333333,6.666666667,1100,57.6587079,900,925.146375
Hot-rolled,50,100,6.666666667,3.333333333,1100,53.50291562,900,521.9465625
Hot-rolled,50,100,3.571428571,1.785714286,1100,51.76441197,900,195.6900156
Hot-rolled,100,50,21,10.5,2360,76.24930154,900,793.636125
Hot-rolled,100,50,13.33333333,6.666666667,2360,70.64037141,900,653.186875
Hot-rolled,100,50,6.666666667,3.333333333,2360,66.68475614,900,394.1386875
Hot-rolled,100,50,3.571428571,1.785714286,2360,65.06168877,900,204.4733438
Hot-rolled,50,100,21,10.5,1180,67.85180411,900,979.255
Hot-rolled,50,100,13.33333333,6.666666667,1180,61.85206847,900,822.6035
Hot-rolled,50,100,6.666666667,3.333333333,1180,57.39403676,900,475.0709063
Hot-rolled,50,100,3.571428571,1.785714286,1180,55.52909647,900,181.7850469
Hot-rolled,100,50,21,10.5,2510,81.09565545,900,706.6705625
Hot-rolled,100,50,13.33333333,6.666666667,2510,75.13022553,900,581.9445625
Hot-rolled,100,50,6.666666667,3.333333333,2510,70.92319403,900,353.2254688
Hot-rolled,100,50,3.571428571,1.785714286,2510,69.1969656,900,188.243375
Hot-rolled,50,100,21,10.5,1260,72.45192643,900,868.0780625
Hot-rolled,50,100,13.33333333,6.666666667,1260,66.04542905,900,733.25
Hot-rolled,50,100,6.666666667,3.333333333,1260,61.2851579,900,430.9667813
Hot-rolled,50,100,3.571428571,1.785714286,1260,59.29378098,900,169.2095938
Hot-rolled,100,50,21,10.5,2670,86.26509962,900,628.4415
Hot-rolled,100,50,13.33333333,6.666666667,2670,79.91940325,900,518.9283125
Hot-rolled,100,50,6.666666667,3.333333333,2670,75.44419444,900,314.8363438
Hot-rolled,100,50,3.571428571,1.785714286,2670,73.60792755,900,171.6429531
Hot-rolled,50,100,21,10.5,1330,76.47703345,900,785.4871875
Hot-rolled,50,100,13.33333333,6.666666667,1330,69.71461955,900,665.1004375
Hot-rolled,50,100,6.666666667,3.333333333,1330,64.68988889,900,395.1609063
Hot-rolled,50,100,3.571428571,1.785714286,1330,62.58787992,900,158.7107031
Hot-rolled,100,50,21,10.5,2830,91.43454379,900,562.070625
Hot-rolled,100,50,13.33333333,6.666666667,2830,84.70858097,900,464.6286875
Hot-rolled,100,50,6.666666667,3.333333333,2830,79.96519486,900,282.66
Hot-rolled,100,50,3.571428571,1.785714286,2830,78.0188895,900,156.2949375
Hot-rolled,50,100,21,10.5,1410,81.07715576,900,703.683125
Hot-rolled,50,100,13.33333333,6.666666667,1410,73.90798012,900,597.00875
Hot-rolled,50,100,6.666666667,3.333333333,1410,68.58101003,900,358.2572813
Hot-rolled,50,100,3.571428571,1.785714286,1410,66.35256443,900,147.6496563
Hot-rolled,100,50,21,10.5,2980,96.2808977,900,508.7106563
Hot-rolled,100,50,13.33333333,6.666666667,2980,89.19843509,900,420.8841563
Hot-rolled,100,50,6.666666667,3.333333333,2980,84.20363275,900,256.1896875
Hot-rolled,100,50,3.571428571,1.785714286,2980,82.15416633,900,143.2494375
Hot-rolled,50,100,21,10.5,1490,85.67727807,900,633.6445625
Hot-rolled,50,100,13.33333333,6.666666667,1490,78.1013407,900,538.5296875
Hot-rolled,50,100,6.666666667,3.333333333,1490,72.47213116,900,324.8656563
Hot-rolled,50,100,3.571428571,1.785714286,1490,70.11724894,900,137.2912656
Hot-rolled,100,50,21,10.5,3140,101.4503419,900,459.6272813
Hot-rolled,100,50,13.33333333,6.666666667,3140,93.98761281,900,380.6021563
Hot-rolled,100,50,6.666666667,3.333333333,3140,88.72463316,900,231.7454688
Hot-rolled,100,50,3.571428571,1.785714286,3140,86.56512828,900,130.6961406
Hot-rolled,50,100,21,10.5,1570,90.27740039,900,573.378875
Hot-rolled,50,100,13.33333333,6.666666667,1570,82.29470127,900,487.9913438
Hot-rolled,50,100,6.666666667,3.333333333,1570,76.3632523,900,295.9866875
Hot-rolled,50,100,3.571428571,1.785714286,1570,73.88193344,900,127.8611406
Hot-rolled,100,50,21,10.5,3300,106.619786,900,417.529875
Hot-rolled,100,50,13.33333333,6.666666667,3300,98.77679053,900,345.765375
Hot-rolled,100,50,6.666666667,3.333333333,3300,93.24563358,900,210.6326563
Hot-rolled,100,50,3.571428571,1.785714286,3300,90.97609023,900,119.5751406
Hot-rolled,50,100,21,10.5,1650,94.8775227,900,521.193125
Hot-rolled,50,100,13.33333333,6.666666667,1650,86.48806185,900,444.0062188
Hot-rolled,50,100,6.666666667,3.333333333,1650,80.25437344,900,270.2132188
Hot-rolled,50,100,3.571428571,1.785714286,1650,77.64661795,900,119.174875
Hot-rolled,100,50,21,10.5,3450,111.46614,900,383.0060625
Hot-rolled,100,50,13.33333333,6.666666667,3450,103.2666446,900,317.180625
Hot-rolled,100,50,6.666666667,3.333333333,3450,97.48407147,900,193.3525938
Hot-rolled,100,50,3.571428571,1.785714286,3450,95.11136706,900,110.2310156
Hot-rolled,50,100,21,10.5,1730,99.47764501,900,475.694375
Hot-rolled,50,100,13.33333333,6.666666667,1730,90.68142242,900,405.5015625
Hot-rolled,50,100,6.666666667,3.333333333,1730,84.14549457,900,247.5585156
Hot-rolled,50,100,3.571428571,1.785714286,1730,81.41130246,900,111.1736406
Hot-rolled,100,50,21,10.5,3610,116.6355841,900,350.561125
Hot-rolled,100,50,13.33333333,6.666666667,3610,108.0558224,900,290.3074688
Hot-rolled,100,50,6.666666667,3.333333333,3610,102.0050719,900,177.1577188
Hot-rolled,100,50,3.571428571,1.785714286,3610,99.52232901,900,101.3227813
Hot-rolled,50,100,21,10.5,1810,104.0777673,900,435.744625
Hot-rolled,50,100,13.33333333,6.666666667,1810,94.87478299,900,371.7083125
Hot-rolled,50,100,6.666666667,3.333333333,1810,88.03661571,900,227.4019531
Hot-rolled,50,100,3.571428571,1.785714286,1810,85.17598696,900,103.9419766
Hot-rolled,100,50,21,10.5,3770,121.8050283,900,321.9120938
Hot-rolled,100,50,13.33333333,6.666666667,3770,112.8450001,900,266.6122813
Hot-rolled,100,50,6.666666667,3.333333333,3770,106.5260723,900,162.89625
Hot-rolled,100,50,3.571428571,1.785714286,3770,103.933291,900,93.39657813
Hot-rolled,50,100,21,10.5,1880,108.1028743,900,404.619625
Hot-rolled,50,100,13.33333333,6.666666667,1880,98.5439735,900,345.3545313
Hot-rolled,50,100,6.666666667,3.333333333,1880,91.4413467,900,211.7355469
Hot-rolled,50,100,3.571428571,1.785714286,1880,88.47008591,900,98.08880469
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Cold-formed,100,100,26.66666667,13.33333333,150,4.373759705,374.6013104,1766.691125
Cold-formed,100,100,20,10,150,4.169459954,374.5615784,1387.75425
Cold-formed,100,100,13.33333333,6.666666667,150,3.987256468,375.4216773,959.50825
Cold-formed,100,100,10,5,150,3.903156608,373.5399981,-1
Cold-formed,100,100,8,4,150,3.854697374,371.6335451,561.48225
Cold-formed,100,100,6.666666667,3.333333333,150,3.823176597,370.0055325,441.4620313
Cold-formed,100,100,5,2.5,150,3.784621729,367.5143758,275.5100625
Cold-formed,100,100,3.555555556,1.777777778,150,3.751939854,364.8683746,151.26825
Cold-formed,100,100,26.66666667,13.33333333,250,7.289599509,374.6013104,1577.03675
Cold-formed,100,100,20,10,250,6.949099924,374.5615784,1287.78475
Cold-formed,100,100,13.33333333,6.666666667,250,6.645427447,375.4216773,938.165125
Cold-formed,100,100,10,5,250,6.505261013,373.5399981,707.9154375
Cold-formed,100,100,8,4,250,6.424495623,371.6335451,547.835875
Cold-formed,100,100,6.666666667,3.333333333,250,6.371960995,370.0055325,429.1880625
Cold-formed,100,100,5,2.5,250,6.307702882,367.5143758,271.6151875
Cold-formed,100,100,3.555555556,1.777777778,250,6.253233089,364.8683746,150.3162656
Cold-formed,100,100,26.66666667,13.33333333,500,14.57919902,374.6013104,1536.345625
Cold-formed,100,100,20,10,500,13.89819985,374.5615784,1378.230375
Cold-formed,100,100,13.33333333,6.666666667,500,13.29085489,375.4216773,902.188625
Cold-formed,100,100,10,5,500,13.01052203,373.5399981,696.035375
Cold-formed,100,100,8,4,500,12.84899125,371.6335451,548.4611875
Cold-formed,100,100,6.666666667,3.333333333,500,12.74392199,370.0055325,-1
Cold-formed,100,100,5,2.5,500,12.61540576,367.5143758,265.4818438
Cold-formed,100,100,3.555555556,1.777777778,500,12.50646618,364.8683746,145.3013125
Cold-formed,100,100,26.66666667,13.33333333,750,21.86879853,374.6013104,1480.6975
Cold-formed,100,100,20,10,750,20.84729977,374.5615784,1207.328125
Cold-formed,100,100,13.33333333,6.666666667,750,19.93628234,375.4216773,873.15975
Cold-formed,100,100,10,5,750,19.51578304,373.5399981,674.6036875
Cold-formed,100,100,8,4,750,19.27348687,371.6335451,538.4369375
Cold-formed,100,100,6.666666667,3.333333333,750,19.11588299,370.0055325,-1
Cold-formed,100,100,5,2.5,750,18.92310865,367.5143758,265.8547813
Cold-formed,100,100,3.555555556,1.777777778,750,18.75969927,364.8683746,144.7822188
Cold-formed,100,100,26.66666667,13.33333333,1000,29.15839804,374.6013104,1401.79475
Cold-formed,100,100,20,10,1000,27.7963997,374.5615784,1147.18675
Cold-formed,100,100,13.33333333,6.666666667,1000,26.58170979,375.4216773,829.5140625
Cold-formed,100,100,10,5,1000,26.02104405,373.5399981,641.418125
Cold-formed,100,100,8,4,1000,25.69798249,371.6335451,515.62
Cold-formed,100,100,6.666666667,3.333333333,1000,25.48784398,370.0055325,412.412
Cold-formed,100,100,5,2.5,1000,25.23081153,367.5143758,263.4639063
Cold-formed,100,100,3.555555556,1.777777778,1000,25.01293236,364.8683746,144.0693125
Cold-formed,100,100,26.66666667,13.33333333,1250,36.44799755,374.6013104,1316.170375
Cold-formed,100,100,20,10,1250,34.74549962,374.5615784,1080.725875
Cold-formed,100,100,13.33333333,6.666666667,1250,33.22713724,375.4216773,783.281875
Cold-formed,100,100,10,5,1250,32.52630506,373.5399981,605.693375
Cold-formed,100,100,8,4,1250,32.12247812,371.6335451,489.5756563
Cold-formed,100,100,6.666666667,3.333333333,1250,31.85980498,370.0055325,400.8381875
Cold-formed,100,100,5,2.5,1250,31.53851441,367.5143758,260.4432031
Cold-formed,100,100,3.555555556,1.777777778,1250,31.26616545,364.8683746,142.91975
Cold-formed,100,100,26.66666667,13.33333333,1500,43.73759705,374.6013104,1224.26925
Cold-formed,100,100,20,10,1500,41.69459954,374.5615784,1010.446125
Cold-formed,100,100,13.33333333,6.666666667,1500,39.87256468,375.4216773,734.667875
Cold-formed,100,100,10,5,1500,39.03156608,373.5399981,570.025375
Cold-formed,100,100,8,4,1500,38.54697374,371.6335451,461.4945
Cold-formed,100,100,6.666666667,3.333333333,1500,38.23176597,370.0055325,380.569125
Cold-formed,100,100,5,2.5,1500,37.84621729,367.5143758,254.7723438
Cold-formed,100,100,3.555555556,1.777777778,1500,37.51939854,364.8683746,140.243375
Cold-formed,100,100,26.66666667,13.33333333,1750,51.02719656,374.6013104,1135.676125
Cold-formed,100,100,20,10,1750,48.64369947,374.5615784,940.9499375
Cold-formed,100,100,13.33333333,6.666666667,1750,46.51799213,375.4216773,686.0489375
Cold-formed,100,100,10,5,1750,45.53682709,373.5399981,532.9986875
Cold-formed,100,100,8,4,1750,44.97146936,371.6335451,432.586875
Cold-formed,100,100,6.666666667,3.333333333,1750,44.60372697,370.0055325,359.5470313
Cold-formed,100,100,5,2.5,1750,44.15392018,367.5143758,247.459125
Cold-formed,100,100,3.555555556,1.777777778,1750,43.77263162,364.8683746,137.4882813
Cold-formed,100,100,26.66666667,13.33333333,2000,58.31679607,374.6013104,1054.555125
Cold-formed,100,100,20,10,2000,55.59279939,374.5615784,876.6808125
Cold-formed,100,100,13.33333333,6.666666667,2000,53.16341958,375.4216773,641.455125
Cold-formed,100,100,10,5,2000,52.0420881,373.5399981,499.1131563
Cold-formed,100,100,8,4,2000,51.39596499,371.6335451,405.7872188
Cold-formed,100,100,6.666666667,3.333333333,2000,50.97568796,370.0055325,338.805875
Cold-formed,100,100,5,2.5,2000,50.46162306,367.5143758,238.2423906
Cold-formed,100,100,3.555555556,1.777777778,2000,50.02586471,364.8683746,134.1007344
Cold-formed,100,100,26.66666667,13.33333333,2250,65.60639558,374.6013104,976.3548125
Cold-formed,100,100,20,10,2250,62.54189932,374.5615784,816.534375
