Forming,$H$,$B$,$r_o$,$t$,$L_{c}$,$L_{c}/r$,$F_y$,$A_{e}$,$I$,$L_{c}/r$,$N_u (kN)$,Author,Title
Hot-rolled,119.65,119.65,13.70125,7.83375,4381,96.92945596,538.17,3364.078501,6872283.666,96.92945596,727.9,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,119.85,119.85,13.90875,7.8575,4381,96.80685251,538.17,3375.322702,6912730.195,96.80685251,737.52,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1476,47.71590899,692.75,2435.389328,2330315.429,47.71590899,1578.43,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1476,47.71590899,692.75,2435.389328,2330315.429,47.71590899,1603.9,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1476,47.71590899,692.75,2435.389328,2330315.429,47.71590899,1634.31,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1476,47.71590899,692.75,2435.389328,2330315.429,47.71590899,1602.49,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1476,47.71590899,692.75,2435.389328,2330315.429,47.71590899,1681.33,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1976,63.87983479,692.75,2435.389328,2330315.429,63.87983479,1064.33,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1976,63.87983479,692.75,2435.389328,2330315.429,63.87983479,1043.66,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1976,63.87983479,692.75,2435.389328,2330315.429,63.87983479,1157.47,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1976,63.87983479,692.75,2435.389328,2330315.429,63.87983479,1109.15,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2361111,79.66611111,14.665,6.975,1976,63.87983479,692.75,2435.389328,2330315.429,63.87983479,1206.17,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2476,80.0437606,692.75,2435.389328,2330315.429,80.0437606,780.24,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2476,80.0437606,692.75,2435.389328,2330315.429,80.0437606,807.72,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2476,80.0437606,692.75,2435.389328,2330315.429,80.0437606,738.06,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2476,80.0437606,692.75,2435.389328,2330315.429,80.0437606,779.17,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2476,80.0437606,692.75,2435.389328,2330315.429,80.0437606,827.69,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2876,92.97490125,692.75,2435.389328,2330315.429,92.97490125,573.13,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2876,92.97490125,692.75,2435.389328,2330315.429,92.97490125,592.65,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2876,92.97490125,692.75,2435.389328,2330315.429,92.97490125,569.34,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2361111,79.66611111,14.665,6.975,2876,92.97490125,692.75,2435.389328,2330315.429,92.97490125,614.59,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.1333333,79.695,14.655,6.9375,3877,125.2489623,692.75,2421.710013,2320413.946,125.2489623,320.34,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2833333,79.825,14.74375,6.9475,3878,125.0937772,692.75,2426.802076,2332268.545,125.0937772,328.79,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.2,79.57666667,14.6275,7.01875,3875,125.4687292,692.75,2449.612314,2336521.445,125.4687292,337.62,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,120.35,79.56666667,14.7525,6.96,3875,125.4010252,692.75,2428.219861,2318618.234,125.4010252,316.78,Sedlacek et al. (1999),Buckling behaviour of hot-formed SHS in high strength steel grade E-460
Hot-rolled,200,100,6,4,2110,49.81584677,354,1964.646343,4141575.483,49.81584677,819,Rondal (1984),Contribution a l'etude de la stabilite des profils creux a parois minces
Hot-rolled,200,100,6,4,3170,74.84181719,354,1964.646343,4141575.483,74.84181719,660,Rondal (1984),Contribution a l'etude de la stabilite des profils creux a parois minces
Hot-rolled,200,100,6,4,4230,99.86778761,354,1964.646343,4141575.483,99.86778761,444,Rondal (1984),Contribution a l'etude de la stabilite des profils creux a parois minces
Hot-rolled,250,150,7.5,5,3140,50.02143237,337,3352.119444,15198672.4,50.02143237,1209.877114,Rondal (1984),Contribution a l'etude de la stabilite des profils creux a parois minces
Hot-rolled,250,150,7.5,5,4710,75.03214856,337,3352.119444,15198672.4,75.03214856,1119.394851,Rondal (1984),Contribution a l'etude de la stabilite des profils creux a parois minces
Hot-rolled,250,150,7.5,5,6280,100.0428647,337,3352.119444,15198672.4,100.0428647,760.0510075,Rondal (1984),Contribution a l'etude de la stabilite des profils creux a parois minces
Hot-rolled,300,100,7.5,5,2170,49.94776827,342,2933.44196,7280243.356,49.94776827,1055.984391,Rondal (1984),Contribution a l'etude de la stabilite des profils creux a parois minces
Hot-rolled,300,100,7.5,5,3250,74.80656538,342,2933.44196,7280243.356,74.80656538,943.1711513,Rondal (1984),Contribution a l'etude de la stabilite des profils creux a parois minces
Hot-rolled,300,100,7.5,5,4350,100.1257106,342,2933.44196,7280243.356,100.1257106,714.9211091,Rondal (1984),Contribution a l'etude de la stabilite des profils creux a parois minces
Hot-rolled,200,200,5.7,3.8,4050,50.66605733,480,1982.393134,18897011.13,50.66605733,949.9565517,Rondal (1984),Contribution a l'etude de la stabilite des profils creux a parois minces
Hot-rolled,200,200,5.7,3.8,6000,75.06082568,480,1982.393134,18897011.13,75.06082568,860.898125,Rondal (1984),Contribution a l'etude de la stabilite des profils creux a parois minces
Hot-rolled,200,200,5.7,3.8,8000,100.0811009,480,1982.393134,18897011.13,100.0811009,561.2094509,Rondal (1984),Contribution a l'etude de la stabilite des profils creux a parois minces
Cold-formed,100.35,100.35,7,3.32,2939,74.66262433,469.8728544,1258.121336,1949463.901,74.66262433,310.4,Somodi & Kovesdi (2017),Flexural buckling resistance of cold-formed HSS hollow section members
